route,colors
Central Mediterranean 1,#FF0000
Central Mediterranean 2,#FF6000
Central Mediterranean 3,#FFBF00
Strait + goulf of Cadix route,#DFFF00
Alboran route,#80FF00
Canary islands route 1,#20FF00
Canary islands route 2,#00FFFF
Algeria route,#00FF40
Eastern Mediterranean 1,#00FF9F
Eastern Mediterranean 2,#00FFFF
Eastern Mediterranean 3,#009FFF
Lebanon to Cyprus route,#0040FF
Evros and Rodopi route,#2000FF
Marmaris to Rhodes route,#8000FF
Kas to Kastellorizo,#DF00FF
Cesme to Chios route,#FF00BF
Egypt Greece Italy route,#FF0060
Other,black
